Symbol	space_microg_rep1	space_microg_rep2	space_microg_rep3	space_1g_rep1	space_1g_rep2	ground_rep1	ground_rep2	ground_rep3
WASH7P	44.1523238292077	41.1404374215909	38.0050549363549	67.1276629817244	36.74103566511	39.7614568668329	48.8875925302157	73.8590721843127
FO538757.1	8.43166958286805	7.52782471969536	6.13850401884638	13.3605179106483	7.17450850603382	6.40843993458113	8.68581513576775	12.074885660008
U6	0.940017217008938	1.22545983808994	0.335437378079037	1.20277168538683	0.604169137350216	1.09234771612178	1.19529566088547	0.15323458959401
MTCO1P12	1.53820999146917	2.62598536733559	2.44869285997697	0.260058742786342	3.51173311084813	1.96622588901921	2.11168900089766	0.459703768782029
RP11-206L10.2	11.9638554892047	13.7426567557229	8.58719687882335	18.9192735377063	11.4792136096541	12.1250596489518	17.0927279506622	15.8751034819394
RP11-206L10.9	3.16187609357552	6.53578580314636	3.25374256736666	3.5433003704639	7.2122690771182	4.22374450233756	4.58196670006097	1.96140274680333
RP11-206L10.8	2.96247850208877	4.23075420292956	2.7505865002481	4.61604268445756	4.87111366988612	3.27704314836535	5.89679192703498	0.704879112132445
LINC01128	17.1197074976476	14.5596299811162	11.4384145924952	26.0383816214824	15.1419890048398	16.312392560752	18.4473963663324	21.2996079535674
LINC00115	4.70008608504469	5.57292450178998	4.15942348818006	7.24913745516927	4.38022624578907	5.5709733522211	7.29130353140136	6.86490961381164
SAMD11	0.541222034035449	0.816973225393295	1.44238072573986	1.72288917095951	1.85026798313504	1.63852157418268	2.82886639742894	2.60498802309817
NOC2L	89.8143722796721	62.2358532058535	83.3226447148328	109.062135256022	74.5016067494985	81.1614353078485	75.7020585227464	128.625114505212
KLHL17	17.6324441614707	9.97874439587525	15.7655567697147	21.3898315941766	17.4831444120719	18.8612038983695	11.9529566088547	30.3098018216951
PLEKHN1	1.45275388083199	0.641907534237589	0.972768396429207	3.08819757058781	1.28385941686921	0.946701353972213	1.51404117045493	4.13733391903826
RP11-54O7.17	2.02246128507984	1.02121653174162	1.00631213423711	6.04636576978244	1.35938055903799	1.67493316472007	2.4702776991633	3.86151165776905
HES4	6.58012051906256	1.19628222289732	13.0485140072745	18.431663394982	11.7057770361604	7.82849196553945	1.87262986872057	13.9137007351361
ISG15	163.107229836157	37.8141892896325	45.8542895834043	621.215321830873	27.9428226024475	51.3039310671864	12.2717021184242	577.326639754391
AGRN	352.278573416652	111.896154263689	236.8187889238	644.393057281706	251.636445706365	192.762960304957	143.993283948003	712.908604627171
RP11-465B22.3	1.33881239998243	1.3129926836678	2.04616800628213	3.34825631337415	1.58594398554432	1.38364044042093	1.15545247218929	3.52439556066223
C1orf159	16.7209123146741	11.0874937731947	16.3358003124491	19.9270011660034	16.0482427108651	14.3461666717328	14.5826070628027	16.089631907371
SDF4	101.835198509302	63.1987145072099	130.619315023977	112.247854855155	112.299938404971	114.769333373862	82.156655091528	147.534262861113
B3GALT6	27.9156628081442	18.5277856473122	33.8791751859827	27.98882219238	29.3399637325699	26.4348147301472	18.4872395550286	21.7286648044306
FAM132A	1.19638554892047	0.583552303852354	0.704418493965978	5.20117485572683	1.47266227229115	0.91028976343482	0.677334207835099	6.86490961381164
UBE2J2	45.918416782376	26.1431432125854	49.7789069069291	56.2051957846981	42.3673607566839	40.5261002681182	34.3448286561092	60.1598998746083
RP5-902P8.10	0.712134255309801	0.933683686163766	0.670874756158074	1.62536714241463	1.05729599036288	0.873878172897427	1.19529566088547	1.13393596299567
SCNN1D	9.85593809348765	6.65249626391683	8.58719687882335	16.3511934526912	9.8555090530254	10.8142423896057	14.3833911193218	10.9409496970123
ACAP3	51.3591224929429	21.9999218552337	33.5437378079037	72.0037644089683	43.1980933205404	49.1920588160177	34.1456127126282	77.7205838420818
PUSL1	20.2246128507984	9.0742383249041	22.0382357397927	23.437794193619	14.575580438574	16.4580389229015	11.79358385407	29.3597473662123
CPSF3L	79.559639003211	62.9944712008616	81.8131765134771	94.1412648886556	78.8818329952876	78.2120964743197	80.0051229019341	89.7035287483333
RP5-890O3.9	2.19337350635419	2.56763013695036	2.01262426847422	3.05569022773951	2.6432399759072	2.5488113376175	4.18353481309914	1.5016989780213
CPTP	25.4089502294537	11.0291385428095	29.9881016002659	29.0290571635254	25.7904700506373	25.9978756436985	17.5708462150164	34.814898755759
TAS1R3	1.28184165955764	0.408486612696647	0.9056809208134	1.13775699969024	1.01953541927849	0.801054991822642	1.11560928349311	2.29851884391015
DVL1	56.2870915396867	27.3102478202901	60.8147966457294	87.9323624046317	52.6004755205532	56.0010262465101	39.0463249222587	115.87599665099
AURKAIP1	52.897332484412	29.8487003420479	72.7228235675352	59.2933933552859	53.846574366338	52.0321628779343	31.1573735604146	63.1632978306508
CCNL2	169.402496653096	161.643988167102	145.881715726573	197.157034374895	163.05014594239	182.203599049114	185.788788890298	183.42180374403
RP4-758J18.2	18.6864028593292	16.1352212015176	20.0591552091264	19.9270011660034	15.74615814219	17.4047402768738	20.320026235053	27.7661076344346
MRPL20	30.9351120506578	28.1563986608761	37.5354426070442	33.9701732764659	29.0756397349791	30.6949708230221	23.7863836516208	33.0067305985497
RP4-758J18.13	1.88003443401788	2.59680775214297	1.94553679285841	2.82813882780146	3.05860625783547	3.0221620146036	2.78902320873276	2.42110651558535
VWA1	10.6250430892222	6.74002910949468	25.3255220449673	6.01385842693415	22.2032157976204	15.3292796162424	11.156092834931	9.13278153980298
ATAD3B	30.5078314974719	22.2625203919673	20.897748654324	44.5025523593127	22.7318637928019	32.2970808066674	27.9300752760238	39.2587018539853
